Descrição,Lemas,Substantivos,Verbos,Entidades
"Concordo com a fala da Ana Paula e digo que sua atuação sobre as Bets tb foi vergonhosa, fazendo self com a moça!!! Vc não passa de um lacrador!!","Concordo, fala, Ana, Paula, dizer, atuação, Bets, tb, vergonhoso, fazer, self, moça, Vc, passar, lacrador","fala, atuação, moça, lacrador","digo, fazendo, self, passa","Concordo (ORG), Ana Paula (PER), Bets (LOC), Vc (PER)"
"O senhor apoiou as Bets, Senador!","senhor, apoiar, Bets, Senador",senhor,apoiou,"Bets (LOC), Senador (LOC)"
Vc nao pode generalizar isso Vc conhece todos os usuários do bolsa família? Pode afirmar que todos gastam o benefício com bets? Generalizar é ser burro e no momento eu te absurdamente burro,"Vc, nao, generalizar, Vc, conhecer, usuário, Bolsa, famíliar, afirmar, gastar, benefício, bets, Generalizar, burro, absurdamente, burro","usuários, família, benefício, bets, momento, burro","pode, generalizar, conhece, Pode, afirmar, gastam","Vc (PER), Generalizar (LOC)"
"O Brasil taxar bilionário é JUSTIÇA! O bilionário taxar o Brasil pelo Bolsonaro é TRAIÇÃO! Taxação BBB: Bilionários, Bancos e Bets. AGORA É A VEZ DO POVO!","Brasil, taxar, bilionário, JUSTIÇA, bilionário, taxar, Brasil, Bolsonaro, TRAIÇÃO, Taxação, BBB, Bilionários, Bancos, Bets","bilionário, bilionário, POVO","taxar, taxar","Brasil (LOC), JUSTIÇA (ORG), Brasil (LOC), Bolsonaro (LOC), TRAIÇÃO! (MISC), Bancos (LOC), Bets (LOC)"
Fazendo propaganda de Bets sem tornozeleira,"Fazendo, propaganda, Bets, tornozeleira","propaganda, tornozeleira",Fazendo,Bets (LOC)
"Espero que ngm me pese nesse festival, quero só curtir cas bets","esperar, ngm, pesar, festival, curtir, ca, bet","festival, cas, bets","Espero, pese, quero, curtir",
"Concordo 100%✓ Esse aí surgiu como uma promessa de grande senador e virou um arremedo de Tiririca. A foto com a ""influencer"" na CPI das bets nunca mais será esquecida. Parabéns, capiau!","Concordo, 100, ✓, surgir, promessa, senador, virar, arremedo, Tiririca, foto, influencer, CPI, bet, ser, esquecer, parabéns, capiau","Concordo, promessa, senador, arremedo, foto, CPI, bets, Parabéns","✓, surgiu, virou, influencer, esquecida, capiau","Concordo (LOC), Tiririca (LOC), Parabéns (LOC)"
"Tu serás preso bandido, corrupto, golpista, quadrilheiro das Bets!","serás, prender, bander, corrupto, golpista, quadrilheiro, Bets","Tu, golpista, quadrilheiro","preso, bandido",Bets (LOC)
UFC 318 bets,"UFC, 318, bet",bets,,UFC (LOC)
"isso, mandamos sempre 8h ou 20h, horarios diferentes só se tiver bets dependendo da escalação","mandar, 8h, 20h, horario, diferentes, ter, bets, depender, escalação","20h, horarios, bets, escalação","tiver, dependendo",
"Como dizia me avô : Boa alma porém inútil . Já na CPI das BETS , foi o maior vexame , fazer vídeo para sua mulher com uma depoente","dizer, avô, alma, inútil, CPI, BETS, vexame, vídeo, mulher, depoente","avô, alma, vexame, vídeo, mulher, depoente","dizia, fazer",BETS (ORG)
"💥 Taxação BBB: Bilionários, Bancos e Bets","💥, Taxação, BBB, Bilionários, Bancos, Bets",,,"💥 Taxação BBB: Bilionários (MISC), Bancos (LOC), Bets (LOC)"
"Cleitinho, o Pachequim não tá na lista? - Gostei da self com a Rainha das Bets, Senador!","cleitinho, Pachequim, tá, lista, Gostei, self, Rainha, Bets, Senador","lista, self",Gostei,"Cleitinho (PER), Pachequim (ORG), Gostei (LOC), Rainha das Bets (PER), Senador (LOC)"
Fora a self com a estafadora dos bets,"self, estafadora, bet","estafadora, bets",self,
"Vendo os comentários aqui se nota o quão leigo ou inocente a turma é. Futebol depois das bets é outros, qlqr fodido bota 30k no bolso fácil, esses exemplos de 2 salários mínimo é a minoria. Felipe Alves ganha 80k, Galhardo uns 150k, fora outros jogadores que ganham mais de 70k.","ver, comentário, notar, quão, leigo, inocente, turma, futebol, bet, qlqr, fodido, bota, 30k, bolso, fácil, exemplo, 2, salário, mínimo, minoria, Felipe, Alves, ganhar, 80k, Galhardo, 150k, jogador, ganhar, 70k","comentários, quão, turma, Futebol, bets, bota, bolso, exemplos, salários, minoria, jogadores, 70k","Vendo, nota, fodido, ganha, 150k, ganham","Felipe Alves (PER), Galhardo (MISC)"
"Pelo amor de Deus. Sendo assim ele passou fome no Barcelona, Bets e agora no Palmeiras. Então os 3 times estavam sem técnico, a tese dele de ser uma das maiores decepção da década nn entra em pauta. Aceite! Já já tá num Goiás da vida","amor, Deus, ser, passar, fome, Barcelona, Bets, Palmeiras, 3, time, estar, técnico, tese, de ele, grande, decepção, década, em n, entrar, pauta, aceite, tá, Goiás, vida","amor, fome, times, técnico, tese, decepção, década, pauta, vida","Sendo, passou, entra","Deus (PER), Barcelona (LOC), Bets (LOC), Palmeiras (ORG), Goiás (LOC)"
Na época que esse cara vendia bets pra ganhar dinheiro ninguém falava nada,"época, cara, vender, bets, pra, ganhar, dinheiro, ninguém, falar","época, cara, bets, dinheiro","vendia, ganhar, falava",
"É muito conflito de interesses, desvios ou má aplicação de recursos públicos. E há que se destacar que parlamentares do Centrão, como Cirão das Bets, sempre coloca o Poder Executivo da situação como refém, para obter ainda mais emendas, que como sabemos, não beneficiam o povo.","conflito, interesse, desvio, má, aplicação, recurso, público, haver, destacar, parlamentar, Centrão, Cirão, Bets, colocar, executivo, situação, refém, obter, emenda, saber, benefic","conflito, interesses, desvios, aplicação, recursos, parlamentares, situação, refém, povo","há, destacar, coloca, obter, sabemos, beneficiam","Centrão (LOC), Cirão das Bets (LOC), Poder Executivo (MISC)"
Perdeu a moral na CPI das bets. Uma das cenas mais constrangedoras que já vi em uma CPI !!!,"Perder, moral, CPI, bet, cena, constrangedoro, ver, CPI","moral, bets, cenas, CPI","Perdeu, vi",
ACHO QUE AS BETs vão colocar na relação das apostas esportivas: QUANTO TEMPO ATÉ LARGAREM A MÃO DOS TOGADOS?? SOMOS TODOS BOLSONARO!!!,"ACHO, BETs, colocar, aposta, esportivo, LARGAREM, MÃO, TOGADOS, BOLSONARO","BETs, relação, apostas, TEMPO, TOGADOS","ACHO, colocar, LARGAREM","AS (MISC), BETs (ORG), MÃO DOS TOGADOS (MISC), SOMOS (ORG), TODOS (MISC)"
o app arrancando mais dinheiro dos pobres que as bets da virgulina 🗣🗣🗣🗣🗣 luly inicie esse projeto imediatamente,"app, arrancar, dinheiro, pobre, bet, virgulina, 🗣, 🗣, 🗣, 🗣, 🗣, Luly, iniciar, projeto, imediatamente","app, dinheiro, pobres, bets, projeto","arrancando, inicie",bets da virgulina (LOC)
"Que tal menos tiktok e mais açao, ja nao chega o papelão das bets","tiktok, açao, ja, nao, chegar, papelão, bet","papelão, bets",chega,
"Deixa eu ver se entendi… Na tribuna você despeja um monte MERDA contra o presidente americano, servindo de papagaio de pirata pra esquerda. Na comissão das BETs se portou como tiete de influenciadora. E agora isso? Você nem tem ideia do que está fazendo. Fraco","Deixa, entender, tribuna, despejar, monte, MERDA, presidente, americano, servir, papagaio, pirata, pra, esquerda, comissão, BETs, portar, tiete, influenciadora, ideia, fazer, Fraco","tribuna, monte, presidente, papagaio, pirata, esquerda, comissão, tiete, influenciadora, ideia","ver, despeja, servindo, portou, tem, fazendo","MERDA (ORG), BETs (ORG), Fraco (PER)"
Depois da CPI das bets com a Virgínia esse sujeito perdeu minha confiança!,"CPI, bet, Virgínia, sujeito, perder, confiança","bets, sujeito, confiança",perdeu,Virgínia (LOC)
"Kassio é aquele do cruzeiro das bets, O André é o terrivelmente evangélico e último é aquele celebrado na frase “in Fux we trust”, proferida por Sérgio a Deltan, né?","Kassio, cruzeiro, bet, André, terrivelmente, evangélico, celebrar, frase, in, Fux, we, trust, proferir, Sérgio, Deltan, né","cruzeiro, bets, terrivelmente, frase, trust","celebrado, proferida","Kassio (PER), cruzeiro das bets (LOC), O André (LOC), “in Fux we trust (MISC), Sérgio a Deltan (PER)"
lembrando também da conduta vexatória na CPI das Bets… tietando quem ganhou milhões a custa do sofrimento de inúmeras famílias. Espero que o mandato dele se encerre o ano que vem para darmos o game over para esse traíra falso.,"lembrar, conduta, vexatório, CPI, Bets, tietar, ganhar, milhão, sofrimento, inúmero, família, esperar, mandato, de ele, encerrer, ano, dar, game, over, traíra, falso","conduta, custa, sofrimento, famílias, mandato, ano, game, traíra","lembrando, tietando, ganhou, Espero, encerre, vem, darmos, over",Bets (LOC)
"Depois que ouvi o ilustre senador falando que iria dar “voz de prisão” pra um certo ministro e nada fez além de bravatas; depois que vi fazendo cena com influencer investigada das bets, entre outros vídeos de denúncias que não foram adiante, já não espero nada dele.","ouvir, ilustre, senador, falar, ir, voz, prisão, pra, certo, ministro, bravata, ver, fazer, cena, influencer, investigar, bet, vídeo, denúncia, adiante, esperar, de ele","senador, voz, prisão, ministro, bravatas, cena, bets, vídeos, denúncias","ouvi, falando, dar, fez, vi, fazendo, influencer, investigada, espero",
"Finalizamos a EWC no VIP, +23,18% de crescimento de banca com 47 Bets e Roi de 33%. Forra Máxima ✅✅✅","Finalizamos, EWC, VIP, +23,18, crescimento, banca, 47, Bets, Roi, 33, Forra, Máxima, ✅, ✅, ✅","+23,18, crescimento, banca","Finalizamos, ✅, ✅","EWC (ORG), VIP (ORG), Bets (LOC), Roi (LOC), Forra Máxima ✅✅✅ (MISC)"
Não só na sabatina mas tb na CPI das Bets tirando selfie com a influencer cambalacheira....,"sabatina, tb, CPI, Bets, tirar, selfie, influencer, cambalacheira","sabatina, Bets, cambalacheira","tb, tirando, selfie, influencer",Bets (LOC)
"Ele é amiguinho e admira a Virgínia que promove BETS, isso não é postura de politico sério de direita! Alem disso Zé Felipe ex marido da Virgínia cantou junto com MC Oruam!","amiguinho, admirar, Virgínia, promover, BETS, postura, politico, sério, Alem, Zé, Felipe, ex, marido, Virgínia, cantar, junto, MC, Oruam","amiguinho, postura, direita, marido","promove, cantou","Virgínia (LOC), Zé Felipe (PER), Virgínia (LOC), MC Oruam! (MISC)"
"Decida-se Sr. Senador Cleitinho. Poste, também, sua vergonhosa atuação na sabatina da Sra. Virginia na CPI das Bets. Zero resistência. Chega de bla bla bla em rede social.","Decida-se, sr., Senador, Cleitinho, Poste, vergonhoso, atuação, sabatina, Sra., Virginia, CPI, Bets, resistência, chegar, bla, bla, bla, rede, social","Sr., atuação, sabatina, resistência, bla, rede","Decida-se, Chega","Poste (LOC), Sra. Virginia (LOC), Bets (LOC), Zero (PER)"
"CHEGA DO TRABALHADOR PAGAR A CONTA ❌ O Brasil taxar bilionário é JUSTIÇA! O bilionário taxar o Brasil pelo Bolsonaro é TRAIÇÃO! 💥 Taxação BBB: Bilionários, Bancos e Bets. AGORA É A VEZ DO POVO!","CHEGA, TRABALHADOR, PAGAR, CONTA, ❌, Brasil, taxar, bilionário, JUSTIÇA, bilionário, taxar, Brasil, Bolsonaro, TRAIÇÃO, 💥, Taxação, BBB, Bilionários, Bancos, Bets","CHEGA, bilionário, bilionário, POVO","taxar, taxar","CONTA (MISC), O Brasil (MISC), JUSTIÇA (ORG), Brasil (LOC), Bolsonaro (LOC), TRAIÇÃO! (MISC), Bancos (LOC), Bets (LOC)"
"E tirando foto na CPI das Bets com a Virgínia, dizendo que a esposa é fã. Daí em diante, ele foi só ladeira abaixo.","tirar, foto, CPI, Bets, Virgínia, dizer, esposo, fã, de aí, ladeirar, abaixo","foto, esposa, fã","tirando, dizendo, ladeira","Bets (LOC), Virgínia (LOC)"
Sem falar na CPI das Bets 🤣🤣🤣,"falar, CPI, Bets, 🤣, 🤣, 🤣",,falar,Bets (LOC)
"Tomara que não esqueça mesmo. Lembra da Virginia, na CPI dos bets?","Tomara, esquecer, Lembra, Virginia, CPI, bets",bets,esqueça,"Tomara (LOC), Lembra da Virginia (MISC)"
"E na CPI das Bets com a Virgínia, vc viu a vergonha?","CPI, Bets, Virgínia, vc, ver, vergonha",vergonha,viu,"Bets (LOC), Virgínia (LOC), vc (PER)"
Esse aí é um Zero a esquerda. Voto perdido. Na CPI das Bets estava tirando selfie com a Virgínia. Vacilão demais,"esquerda, voto, perder, CPI, Bets, tirar, selfie, Virgínia, Vacilão","esquerda, Voto, Vacilão","perdido, tirando, selfie","Zero (PER), Bets (LOC), Virgínia (LOC)"
Parei de acompanhar ele desde a cpi das bets,"Parei, acompanhar, cpi, bet","cpi, bets",acompanhar,
"Olha que coincidência, dois dos que mais salivam por Bets no Brasil, um dando RT no outro. Imagina que lindo se o Danilo Gentili fosse presidente como o Nando Moura sempre sonhou, ele enchendo o país de Bets e arruinando a vida o brasileiro em dívidas 😍 MEEEEEU HUMORISTA 🫱🫲","Olha, coincidênciar, salir, Bets, Brasil, dando, RT, outro, Imagina, lir, Danilo, Gentili, ser, presidente, Nando, Moura, sonhar, encher, país, Bets, arruinar, vida, brasileiro, dívida, 😍, MEEEEEU, HUMORISTA, 🫱🫲","coincidência, presidente, país, vida, brasileiro, dívidas, MEEEEEU","salivam, dando, Imagina, lindo, sonhou, enchendo, arruinando, 🫱🫲","Olha (LOC), Bets (LOC), Brasil (LOC), RT (MISC), Imagina (LOC), Danilo Gentili (PER), Nando Moura (PER), Bets (LOC), MEEEEEU (MISC)"
DIGA NÃO AS BETS,"DIGA, BETS",,DIGA,DIGA NÃO (MISC)
Kkkkkkkkkkk Bruno Henrique farmando dinheiro nas bets e não tomou 1 jogo de suspensão aí os ridículos da CBF pune o Dudu por um storys,"Kkkkkkkkkkk, Bruno, Henrique, farmar, dinheiro, bet, tomar, 1, jogo, suspensão, ridículo, CBF, pune, Dudu, storys","dinheiro, bets, jogo, suspensão, ridículos, storys","farmando, tomou, pune","Kkkkkkkkkkk Bruno Henrique (PER), bets (LOC), CBF (ORG), Dudu (ORG)"
"Isso é o futuro, documentos oficiais patrocinados por bets","futuro, documento, oficial, patrocinado, bet","futuro, documentos, bets",patrocinados,bets (LOC)
Porque são protestores dos donos das bets bilhõnarios e defensores dos políticos corruptos golpistas bosoloides de direita e centrao,"protestor, dono, bet, bilhõnario, defensor, político, corrupto, golpista, bosoloide, centrao","protestores, donos, bets, defensores, políticos, direita",,bets bilhõnarios (LOC)
