Descrição,Lemas,Substantivos,Verbos,Entidades
"Luis Müller, sócio da Asia Source, destaca que missão à China é um divisor de águas para empresários que buscam crescer e competir no mercado global","Luis, Müller, sócio, Asia, Source, destacar, missão, China, divisor, água, empresário, buscar, crescer, competir, mercado, global","sócio, missão, divisor, águas, empresários, mercado","destaca, buscam, crescer, competir","Luis Müller (PER), Asia Source (ORG), China (LOC)"
"Um dos iates mais conhecidos do litoral brasileiro se chama Bejoa. Com 120 pés (quase 40 metros de extensão), a embarcação tem as dimensões de uma grande casa flutuante: quatro andares, quatro suítes, duas cozinhas e se tornou uma estrela do mar de Angra dos …","iate, conhecer, litoral, brasileiro, chamar, Bejoa, 120, pé, quase, 40, metro, extensão, embarcação, dimensão, casa, flutuante, andar, suíte, cozinha, tornar, estrela, mar, Angra","iates, litoral, pés, metros, extensão, embarcação, dimensões, casa, andares, suítes, cozinhas, estrela, mar","conhecidos, chama, tem, tornou","Bejoa (LOC), mar de Angra (LOC)"
"Ministro da Fazenda, Fernando Haddad defende aumento do imposto sobre bets e critica governo Bolsonaro por não ter regulado setor","ministro, fazenda, Fernando, Haddad, defender, aumento, imposto, bets, criticar, governo, Bolsonaro, regular, setor","aumento, imposto, bets, governo, setor","defende, critica, regulado","Ministro da Fazenda (LOC), Fernando Haddad (PER), bets (LOC), Bolsonaro (LOC)"
"Texto passou pela Câmara em 2022; se parecer do relator for aprovado for aprovado sem mudanças no Senado, a nova norma seguirá para sanção presidencial","Texto, passar, câmara, 2022, parecer, relator, aprovar, aprovar, mudança, senado, norma, seguir, sanção, presidencial","Texto, Câmara, relator, mudanças, Senado, norma, sanção","passou, parecer, aprovado, aprovado, seguirá","Texto (ORG), Câmara (ORG), Senado (MISC)"
"Projeto que já foi aprovado na Câmara dos Deputados está na pauta do Plenário do Senado na tarde desta terça-feira (08/07). Proposta desperta preocupação com vício em jogos, mas traz promessa de arrecadação de impostos.","projeto, aprovar, Câmara, Deputados, pauta, Plenário, senado, terça-feira, 08/07, proposta, desprir, preocupação, vício, jogo, trazer, promessa, arrecadação, imposto","Projeto, pauta, Senado, tarde, terça-feira, Proposta, preocupação, vício, jogos, promessa, arrecadação, impostos","aprovado, desperta, traz","Câmara dos Deputados (LOC), Plenário do Senado (LOC)"
"Na pauta do Senado, o projeto legaliza bingos, cassinos, jogo do bicho e até corridas de cavalo. A medida causou divisão nos parlamentares quando foi aprovada na CCJ em junho de 2024.","pauta, senado, projeto, legalizar, bingo, cassino, jogo, bicho, corrida, cavalo, medida, causar, divisão, parlamentar, aprovar, CCJ, junho, 2024","pauta, Senado, projeto, bingos, cassinos, jogo, bicho, corridas, cavalo, medida, divisão, parlamentares, junho","legaliza, causou, aprovada","Senado (MISC), CCJ (ORG)"
"Dono do Tigrinho comprou 3 imóveis da família de Ciro Nogueira, que integrou CPI","Dono, Tigrinho, comprar, 3, imóvel, família, Ciro, Nogueira, integrar, CPI","imóveis, família","comprou, integrou","Dono do Tigrinho (MISC), Ciro Nogueira (PER)"
"O vento virou novamente. Encurralado por um Congresso reacionário e fisiológico dominado pelo centrão bolsonarista, em que tem minoria absoluta (menos de cem deputados no colegiado de 513), esta semana Lula saiu das cordas para voltar às origens do PT,","vento, virar, novamente, encurralar, congresso, reacionário, fisiológico, dominar, centrão, bolsonarista, minoria, absoluto, cem, deputado, colegiado, 513, semana, Lula, sair, corda, voltar, origem, PT","vento, Congresso, centrão, minoria, deputados, colegiado, semana, cordas, origens","virou, Encurralado, dominado, tem, saiu, voltar","Lula (PER), PT (ORG)"
"Entenda como funcionam as apostas esportivas no Brasil, conheça os principais mercados, as casas autorizadas, e aposte com responsabilidade e segurança.
O post Apostas esportivas: como funciona? apareceu primeiro em Catraca Livre.","Entenda, funcionar, aposta, esportiva, Brasil, conhecer, principal, mercado, casa, autorizar, apostir, responsabilidade, segurança, 
, post, apostas, esportiva, funcionar, aparecer, Catraca, Livre","apostas, esportivas, mercados, casas, aposte, responsabilidade, segurança, Apostas, esportivas","Entenda, funcionam, conheça, autorizadas, post, funciona, apareceu","Brasil (LOC), Apostas (MISC), Catraca Livre (LOC)"
"De peregrinação à quadra de escola de samba, apresentadora do SBT tem se esforçado nas premeditadas aparições públicas; confira","peregrinação, quadra, escola, samba, apresentadora, SBT, esforçar, premeditado, aparição, público, confira","peregrinação, quadra, escola, samba, apresentadora, aparições","esforçado, confira",SBT (ORG)
"Sim, a BigBet é uma casa de apostas confiável e regulamentada. Confira neste artigo informações para apostar em segurança na plataforma","BigBet, casa, aposta, confiável, regulamentar, Confira, artigo, informação, apostar, segurança, plataforma","casa, apostas, artigo, informações, segurança, plataforma","regulamentada, Confira, apostar",BigBet (ORG)
"YouTube, Facebook, Instagram e várias outras estão abaixo das casas de apostas
O post Bets passam a ser o segundo maior destino na internet do Brasil apareceu primeiro em Olhar Digital.","YouTube, Facebook, Instagram, várias, abaixo, casa, aposta, 
, post, Bets, passar, destino, Internet, Brasil, aparecer, Olhar, Digital","casas, apostas, destino","estão, passam, apareceu","YouTube (MISC), Facebook (MISC), Instagram (LOC), Bets (LOC), Brasil (LOC), Olhar Digital (MISC)"
"Por Leonardo Sakamoto, no UOL As bets se tornaram o segundo maior destino da internet brasileira, ultrapassando gigantes como YouTube e WhatsApp, segundo reportagem de Helton Simões Gomes, no UOL. Perdem apenas para o Google que, sem dúvida, também é acessado…","Leonardo, Sakamoto, UOL, bet, tornar, destino, Internet, brasileira, ultrapassar, gigante, YouTube, WhatsApp, reportagem, Helton, Simões, Gomes, UOL, Perdem, Google, dúvida, acessar","bets, destino, gigantes, reportagem, dúvida","tornaram, ultrapassando, Perdem, acessado","Leonardo Sakamoto (PER), UOL (MISC), YouTube (MISC), WhatsApp (MISC), Helton Simões Gomes (PER), UOL (MISC), Perdem (MISC), Google (ORG)"
(Esta é a newsletter Tilt. Inscreva-se gratuitamente para receber no seu email toda sexta. Conheça as demais newsletters do UOL. São dezenas de opções sobre os mais variados assuntos para a sua escolha)As casas de apostas desbancaram plataformas digita,"newsletter, Tilt, Inscreva-se, gratuitamente, receber, email, Conheça, newsletters, UOL, dezena, opção, variado, assunto, escolha)As, casa, aposta, desbancar, plataforma, digito","email, sexta, newsletters, opções, assuntos, escolha)As, casas, apostas, plataformas","newsletter, Inscreva-se, receber, Conheça, desbancaram, digita","Tilt (PER), UOL (MISC), escolha)As (MISC)"
"Em um Mundial cercado por zebras, Palmeiras e Chelsea duelam por vaga na semifinal. Veja mercados, estatísticas e boas opções de apostas","Mundial, cercar, zebra, Palmeiras, Chelsea, duelar, vaga, semifinal, mercado, estatístico, bom, opção, aposta","zebras, vaga, semifinal, mercados, opções, apostas","cercado, duelam","Mundial (MISC), Palmeiras (ORG), Chelsea (LOC)"
"Conhecido como Fernandin OIG, o empresário fez fortuna. Prefeito Erivaldo Lopes explica que a isenção foi uma promessa a empresários de maneira geral","Fernandin, OIG, empresário, fortuna, Prefeito, Erivaldo, Lopes, explicar, isenção, promessa, empresário, maneira","empresário, fortuna, isenção, promessa, empresários, maneira","fez, explica","Fernandin OIG (PER), Erivaldo Lopes (PER)"
Petista enfrenta duas crises ao mesmo tempo no Brasil: queda de popularidade e dificuldade na relação com o Congresso Nacional.,"Petista, enfrentar, crise, Brasil, queda, popularidade, dificuldade, Congresso, Nacional","Petista, crises, tempo, queda, popularidade, dificuldade, relação",enfrenta,"Petista (LOC), Brasil (LOC), Congresso Nacional (LOC)"
"Para o coronel Hudson Leôncio Teixeira, medida iria garantir mais investimentos nos estados para fortalecer as ações de combate à criminalidade","coronel, Hudson, Leôncio, Teixeira, medida, ir, garantir, investimento, estado, fortalecer, ação, combate, criminalidade","coronel, medida, investimentos, estados, ações, combate, criminalidade","garantir, fortalecer",Hudson Leôncio Teixeira (PER)
"O clima de tensão entre o governo federal e o Congresso Nacional segue sem solução, com o presidente do Senado, Davi Alcolumbre (União Brasil-AP), cobrando gestos concretos do presidente Lula (PT) para normalizar as relações institucionais. Fontes próximas ao…","clima, tensão, governo, federal, Congresso, Nacional, seguir, solução, presidente, senado, Davi, Alcolumbre, União, Brasil-AP, cobrar, gesto, concreto, presidente, Lula, PT, normalizar, relação, institucional, fonte, próximo","clima, tensão, governo, solução, presidente, Senado, gestos, presidente, relações, Fontes","segue, cobrando, normalizar","Congresso Nacional (LOC), Senado (MISC), Davi Alcolumbre (PER), União Brasil-AP (ORG), presidente Lula (PER), PT (ORG)"
"Dos 32 times que participaram da primeira fase do torneio global, mais da metade possuem algum tipo de parceria com casas de apostas
The post Copa do Mundo também tem domínio de bets, apesar de regras diferentes fora do Brasil appeared first on InfoMoney.","32, time, participar, fase, torneio, global, metade, possuir, algum, parceria, casa, aposta, 
, The, post, Copa, Mundo, domínio, bets, apesar, regra, diferente, Brasil, appeared, First, on, InfoMoney","times, fase, torneio, metade, tipo, parceria, casas, apostas, Copa, domínio, bets, regras","participaram, possuem, post, tem","Copa do Mundo (MISC), bets (LOC), Brasil (LOC), first on InfoMoney (MISC)"
"InfoMoney reúne as principais informações que devem balançar os mercados hoje; confira
The post Payroll, auxílio-desemprego, PMIs, falas do Fed e mais destaques desta 5ª appeared first on InfoMoney.","InfoMoney, reunir, principal, informação, balançar, mercado, hoje, confira, 
, The, post, Payroll, auxílio-desemprego, PMIs, fala, Fed, destaque, 5ª, appeared, First, on, InfoMoney","informações, mercados, auxílio-desemprego, falas, destaques, appeared","reúne, devem, balançar, confira, post","InfoMoney (MISC), The post Payroll (MISC), PMIs (LOC), Fed (ORG), InfoMoney (MISC)"
Datena causou polêmica ao sugerir a prisão de Virgínia Fonseca por conta do envolvimento com ...,"Datena, causar, polêmica, sugerir, prisão, Virgínia, Fonseca, conta, envolvimento","polêmica, prisão, conta, envolvimento","causou, sugerir","Datena (PER), Virgínia Fonseca (PER)"
A FlaBet é confiável e licenciada no Brasil. A casa oferece medidas e recursos importantes para uma experiência de apostas confortável e segura,"FlaBet, confiável, licenciar, Brasil, casa, oferecer, medida, recurso, importante, experiência, aposta, confortável, seguro","casa, medidas, recursos, experiência, apostas","licenciada, oferece","FlaBet (ORG), Brasil (LOC)"
O presidente Luiz Inácio Lula da Silva (PT) reafirmou nesta quarta-feira (2/7) a decisão do...,"presidente, Luiz, Inácio, Lula, Silva, PT, reafirmar, quarta-feira, 2/7, decisão","presidente, quarta-feira, decisão",reafirmou,"Luiz Inácio Lula da Silva (PER), PT (ORG)"
Datena pede prisão de Virginia em conversa com Sonia Abrão na RedeTV! ao comentar polêmica relação da influenciadora com casas de apostas,"Datena, pedir, prisão, Virginia, conversa, Sonia, Abrão, RedeTV, comentar, polêmica, influenciadora, casa, aposta","prisão, conversa, RedeTV, relação, influenciadora, casas, apostas","pede, comentar, polêmica","Datena (PER), Virginia (LOC), Sonia Abrão (PER), RedeTV! (MISC)"
Apresentador Datena detona Virginia Fonseca por divulgar casas de apostas e expõe opinião sincera sobre a influenciadora; confira,"Apresentador, Datena, detonar, Virginia, Fonseca, divulgar, casa, aposta, expor, opinião, sincera, influenciadora, confira","casas, apostas, opinião, influenciadora","detona, divulgar, expõe, confira",Apresentador Datena detona Virginia Fonseca (PER)
"José Luiz Datena, da RedeTV!, questionou nesta terça (1º/7) por que Virginia Fonseca segue livre mesmo após divulgar jogos de azar nas redes","José, Luiz, Datena, RedeTV, questionar, terça, 1º/7, Virginia, Fonseca, seguir, livre, divulgar, jogo, azar, rede","terça, jogos, redes","questionou, segue, divulgar, azar","José Luiz Datena (PER), RedeTV! (MISC), Virginia Fonseca (PER)"
Influenciadora Virginia Fonseca toma decisão radical e rompe com divulgação de jogos de azar com multa milionária a pagar,"Influenciadora, Virginia, Fonseca, tomar, decisão, radical, romper, divulgação, jogo, azar, multa, milionário, pagar","decisão, divulgação, jogos, multa","toma, rompe, azar, pagar",Influenciadora Virginia Fonseca (PER)
Esther Dweck diz que governo trabalha para melhorar gastos.,"Esther, Dweck, governo, trabalhar, melhorar, gasto","governo, gastos","diz, trabalha, melhorar",Esther Dweck (PER)
Influenciadora se viu envolvida em polêmica com a CPI das Bets,"influenciadora, ver, envolvir, polêmica, CPI, Bets","Influenciadora, polêmica","viu, envolvida",Bets (LOC)
"O presidente Luiz Inácio Lula da Silva (PT) afirmou, nesta terça-feira (1º), ser preciso “diminuir...","presidente, Luiz, Inácio, Lula, Silva, PT, afirmar, terça-feira, 1º, preciso, diminuir","presidente, terça-feira","afirmou, diminuir","Luiz Inácio Lula da Silva (PER), PT (ORG)"
A influenciadora Virginia Fonseca decidiu encerrar contrato com a Esportes da Sorte após polêmica envolvendo a CPI das Bets no mês passado,"influenciadora, Virginia, Fonseca, decidir, encerrar, contrato, Esportes, Sorte, polêmica, envolver, CPI, Bets, passado","influenciadora, contrato, polêmica, mês","decidiu, encerrar, envolvendo","Virginia Fonseca (PER), Esportes da Sorte (LOC), Bets (LOC)"
"Petista citou Rodrigo Pacheco, Arthur Lira, Davi Alcolumbre e Hugo Motta antes de afirmar que lobby venceu discussão do IOF","Petista, citar, Rodrigo, Pacheco, Arthur, Lira, Davi, Alcolumbre, Hugo, Motta, afirmar, lobby, vencer, discussão, IOF",discussão,"citou, afirmar, venceu","Rodrigo Pacheco (PER), Arthur Lira (PER), Davi Alcolumbre (PER), Hugo Motta (PER), lobby (PER), IOF (MISC)"
"Nas últimas legislaturas, a escolha do presidente da Câmara, no Brasil, não tem sido exatamente um exercício democrático. Tem sido, antes de tudo, um rodízio no comando de um negócio sujo — muito sujo — e altamente lucrativo. Sai Arthur Lira, entra Hugo Motta…","último, legislatura, escolha, presidente, câmara, Brasil, ser, exatamente, exercício, democrático, ser, rodízio, comando, negócio, sujo, sujo, altamente, lucrativo, sai, Arthur, Lira, entrar, Hugo, Motta","legislaturas, escolha, presidente, Câmara, exercício, rodízio, comando, negócio","sujo, entra","Brasil (LOC), Sai Arthur Lira (MISC), Hugo Motta (PER)"
"A expressão “Congresso da Mamata” se tornou um dos assuntos mais comentados no X nesta terça-feira (1º), ultrapassando 163 mil publicações no começo da manhã. O termo ganhou força após críticas à atuação do Congresso Nacional, que derrubou o aumento do IOF pr…","expressão, Congresso, Mamata, tornar, assunto, comentar, X, terça-feira, 1º, ultrapassar, 163, publicação, começo, manhã, termo, ganhar, força, crítica, atuação, Congresso, Nacional, derrubar, aumento, IOF, pr","expressão, assuntos, terça-feira, publicações, começo, manhã, termo, força, críticas, atuação, aumento","tornou, comentados, ultrapassando, ganhou, derrubou","“ (ORG), Congresso da Mamata (MISC), X (MISC), Congresso Nacional (LOC), IOF (MISC)"
AGU afirma que derrubada do decreto fere a separação dos poderes e coloca em risco o equilíbrio das contas públicas,"AGU, afirmar, derrubar, decreto, ferir, separação, poder, colocar, risco, equilíbrio, conta, público","decreto, separação, poderes, risco, equilíbrio, contas","afirma, derrubada, fere, coloca",
Proposta do conselho de secretários quer aumentar o percentual destinado do imposto das bets para a segurança pública,"proposta, secretário, aumentar, percentual, destinar, imposto, bet, segurança, público","Proposta, conselho, secretários, imposto, bets, segurança","quer, aumentar, destinado",
Governo tem adotado discurso mais duro para justificar aumento de tributos para quem ganha mais,"Governo, adotar, discurso, duro, justificar, aumento, tributo, ganhar","discurso, aumento, tributos","adotado, justificar, ganha",Governo (LOC)
"A influenciadora digital Virginia Fonseca decidiu romper, de maneira definitiva, seu contrato ...","influenciadora, digital, Virginia, Fonseca, decidir, romper, maneira, definitivo, contrato","influenciadora, maneira, contrato","decidiu, romper",Virginia Fonseca (PER)
"Startupi

Apostas online crescem e elevam inadimplência no Brasil, aponta levantamento
O avanço das apostas esportivas e dos jogos de azar pela internet no Brasil tem impulsionado um mercado bilionário. No entanto, o crescimento da atividade vem acompanhado d…","Startupi, 

, aposta, onliner, crescer, eler, inadimplência, Brasil, apontar, levantamento, 
, avanço, aposta, esportivo, jogo, azar, Internet, Brasil, impulsionar, mercado, bilionário, entanto, crescimento, atividade, acompanhar, d","Apostas, inadimplência, levantamento, avanço, apostas, jogos, mercado, entanto, crescimento, atividade","online, crescem, elevam, aponta, azar, impulsionado, vem, acompanhado","Apostas (MISC), Brasil (LOC), Brasil (LOC)"
"Você já esteve em um Cassino? Caso não, pode ser que já tenha assistido algum filme onde os personagens passem por um. Lembro-me do filme Percy Jackson e o Ladrão de Raios (2010). Em meio a…","Cassino, caso, ter, assistir, algum, filme, personagem, passar, Lembro-me, filme, Percy, Jackson, Ladrão, Raios, 2010","filme, personagens, filme, meio","pode, ser, assistido, passem","Cassino (ORG), Percy Jackson (PER), Ladrão de Raios (MISC)"
Vídeos publicados nas redes sociais do partido tratam do projeto que amplia isenção do Imposto de Renda,"vídeo, publicar, rede, social, partido, tratar, projeto, ampliar, isenção, Imposto, Renda","Vídeos, redes, partido, projeto, isenção","publicados, tratam, amplia",Imposto de Renda (MISC)
"Publicado originalmente na Agência Brasil O ministro Gilmar Mendes, do Supremo Tribunal Federal (STF), solicitou nesta sexta-feira (27) a redistribuição da relatoria da ação na qual o PSOL pediu à Corte a suspensão das votações da Câmara dos Deputados e do Se…","Publicar, originalmente, Agência, Brasil, ministro, Gilmar, Mendes, Supremo, Tribunal, Federal, STF, solicitar, sexta-feira, 27, redistribuição, relatoria, ação, PSOL, pedir, Corte, suspensão, votação, Câmara, Deputados","ministro, sexta-feira, redistribuição, relatoria, ação, suspensão, votações, Se","Publicado, solicitou, pediu","Agência Brasil (ORG), Gilmar Mendes (PER), Supremo Tribunal Federal (LOC), STF (LOC), PSOL (PER), Corte (LOC), Câmara dos Deputados (LOC)"
As redes sociais do Partido dos Trabalhadores (PT) divulgaram nesta quinta-feira (26) um novo vídeo defendendo o projeto do governo Lula que prevê isenção do Imposto de Renda (IR) para quem ganha até R$ 5 mil mensais. A peça também reforça a proposta de taxar…,"rede, social, Partido, Trabalhadores, PT, divulgar, quinta-feira, 26, vídeo, defender, projeto, governo, Lula, prever, isenção, Imposto, Renda, ganhar, R$, 5, mensal, peça, reforçar, proposta, taxar","redes, quinta-feira, vídeo, projeto, governo, isenção, mensais, peça, proposta","divulgaram, defendendo, prevê, ganha, reforça, taxar","Partido dos Trabalhadores (ORG), PT (ORG), Lula (PER), Imposto de Renda (MISC), IR (LOC), R$ (MISC)"
"Ministro da Fazenda afirmou disse entender a decisão do Congresso, de quebrar acordo para calibrar as alíquotas do imposto, e negou que as alíquotas fixadas para IOF câmbio tenham caráter arrecadatório","ministro, Fazenda, afirmar, dizer, entender, decisão, congresso, quebrar, acordo, calibrar, alíquota, imposto, negar, alíquota, fixar, IOF, câmbio, ter, caráter, arrecadatório","decisão, Congresso, acordo, alíquotas, imposto, caráter","afirmou, disse, entender, quebrar, calibrar, negou, fixadas, tenham","Ministro da Fazenda (LOC), Congresso (LOC), IOF (MISC)"
Influenciadora e cantor divulgaram separação no fim de maio,"influenciadora, cantor, divulgar, separação, maio","Influenciadora, cantor, separação, fim, maio",divulgaram,
"Sim, a BateuBet é confiável para quem quer apostar ou jogar em cassino. Conheça os aspectos que tornam a casa de apostas segura e confiável.","BateuBet, confiável, apostar, jogar, cassino, Conheça, aspecto, tornar, casa, aposta, seguro, confiável","cassino, aspectos, casa, apostas","quer, apostar, jogar, Conheça, tornam","Sim (LOC), BateuBet (MISC)"
"Zé Felipe entrou com um processo para oficializar o divórcio de Virginia Fonseca, um mês...","Zé, Felipe, entrar, processo, oficializar, divórcio, Virginia, Fonseca","processo, divórcio, mês","entrou, oficializar","Zé Felipe (PER), Virginia Fonseca (PER)"
Setor de apostas no Brasil gasta bem acima da média mundial em publicidade. Segundo ...,"Setor, aposta, Brasil, gastar, acima, média, mundial, publicidade","apostas, média, publicidade",gasta,Brasil (LOC)
"Setor de apostas no Brasil gasta bem acima da média mundial em publicidade. Segundo especialistas, regulação insuficiente no país também abriu porta para práticas agressivas para manter usuários presos a apostas.","Setor, aposta, Brasil, gastar, acima, média, mundial, publicidade, especialista, regulação, insuficiente, país, abrir, porta, prática, agressivo, manter, usuário, prender, aposta","apostas, média, publicidade, especialistas, regulação, país, porta, práticas, usuários, apostas","gasta, abriu, manter, presos",Brasil (LOC)
